Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Nedbør (døgn);Høyeste middelvind (døgn)
Bergen - Florida;SN50540;01.01.2021;-1,5;0;2,4
Bergen - Florida;SN50540;02.01.2021;0,7;0;4,5
Bergen - Florida;SN50540;03.01.2021;-2,8;0;2,6
Bergen - Florida;SN50540;04.01.2021;-4,6;0;1,8
Bergen - Florida;SN50540;05.01.2021;-4,1;0;2,5
Bergen - Florida;SN50540;06.01.2021;-5,2;0;3
Bergen - Florida;SN50540;07.01.2021;-1,3;0;5,3
Bergen - Florida;SN50540;08.01.2021;-2,3;0;4,8
Bergen - Florida;SN50540;09.01.2021;1,1;0;9,4
Bergen - Florida;SN50540;10.01.2021;0,4;15,4;10
Bergen - Florida;SN50540;11.01.2021;-2,1;8,4;4,9
Bergen - Florida;SN50540;12.01.2021;-0,7;0,9;11,3
Bergen - Florida;SN50540;13.01.2021;-1,5;3,5;12,4
Bergen - Florida;SN50540;14.01.2021;-4,7;0;2,8
Bergen - Florida;SN50540;15.01.2021;-5,6;0;2
Bergen - Florida;SN50540;16.01.2021;-1,1;0;9,7
Bergen - Florida;SN50540;17.01.2021;2,3;1,2;11,5
Bergen - Florida;SN50540;18.01.2021;3;6,5;7,7
Bergen - Florida;SN50540;19.01.2021;2,5;9;7
Bergen - Florida;SN50540;20.01.2021;3,8;0,1;9,4
Bergen - Florida;SN50540;21.01.2021;6,9;12,7;10,9
Bergen - Florida;SN50540;22.01.2021;3,9;4,9;13,8
Bergen - Florida;SN50540;23.01.2021;2,7;38,7;7
Bergen - Florida;SN50540;24.01.2021;1;3,5;6,6
Bergen - Florida;SN50540;25.01.2021;-1,9;0;3,4
Bergen - Florida;SN50540;26.01.2021;-1;2,3;5
Bergen - Florida;SN50540;27.01.2021;-4,6;0,3;2,3
Bergen - Florida;SN50540;28.01.2021;-3,6;0;4
Bergen - Florida;SN50540;29.01.2021;-1,6;1,3;4,4
Bergen - Florida;SN50540;30.01.2021;-0,4;0,4;5,8
Bergen - Florida;SN50540;31.01.2021;-1,1;3,3;5,1
Bergen - Florida;SN50540;01.02.2021;-5,2;5,5;2,5
Bergen - Florida;SN50540;02.02.2021;-4,9;0;2,8
Bergen - Florida;SN50540;03.02.2021;-6,9;0;2,3
Bergen - Florida;SN50540;04.02.2021;-6;0;2,4
Bergen - Florida;SN50540;05.02.2021;-6,3;0,7;6,1
Bergen - Florida;SN50540;06.02.2021;-6,5;0;5,5
